classe,fpr,tpr,thresholds
Amarelo,0.0003699593044765076,0.03121516164994426,0.974
Amarelo,0.0003699593044765076,0.03678929765886288,0.972
Amarelo,0.0007399186089530152,0.05128205128205128,0.97
Amarelo,0.0007399186089530152,0.06354515050167224,0.968
Amarelo,0.0007399186089530152,0.07246376811594203,0.966
Amarelo,0.0007399186089530152,0.0947603121516165,0.962
Amarelo,0.0007399186089530152,0.10925306577480491,0.96
Amarelo,0.0007399186089530152,0.12151616499442586,0.958
Amarelo,0.0007399186089530152,0.13712374581939799,0.956
Amarelo,0.0007399186089530152,0.14604236343366778,0.954
Amarelo,0.0007399186089530152,0.15719063545150502,0.952
Amarelo,0.0007399186089530152,0.16722408026755853,0.95
Amarelo,0.0007399186089530152,0.1806020066889632,0.948
Amarelo,0.0007399186089530152,0.18729096989966554,0.946
Amarelo,0.0007399186089530152,0.20512820512820512,0.944
Amarelo,0.0007399186089530152,0.221850613154961,0.942
Amarelo,0.0007399186089530152,0.23634336677814938,0.94
Amarelo,0.0014798372179060304,0.25863991081382387,0.936
Amarelo,0.0014798372179060304,0.2686733556298774,0.934
Amarelo,0.0014798372179060304,0.2909698996655518,0.93
Amarelo,0.0014798372179060304,0.3032329988851728,0.928
Amarelo,0.0014798372179060304,0.3088071348940914,0.926
Amarelo,0.001849796522382538,0.31995540691192864,0.924
Amarelo,0.001849796522382538,0.3255295429208473,0.922
Amarelo,0.001849796522382538,0.3333333333333333,0.92
Amarelo,0.001849796522382538,0.3455964325529543,0.918
Amarelo,0.0022197558268590455,0.3511705685618729,0.916
Amarelo,0.002589715131335553,0.3600891861761427,0.914
Amarelo,0.002589715131335553,0.3734671125975474,0.912
Amarelo,0.0029596744358120607,0.3801560758082497,0.91
